ProductId	VendorId	UPC	Product Description	CasePack	Size	ShipCaseQty	WhseCase Cost	OffInvoice	BillBack	CRV	TransPk	TransCfg	TransUnitCt	TransConfigWt	TransCaseCost	TransCRV	RetailMult	Retail Unit	TransCaseQty	IsActive
2347	31	3000006153	Quaker Oatmeal Squares Cinn.	12	14 OZ	1	50.76	25.32	0.00	0.00	1	Case	12	13	25.44	0.00	1	2.98	1	0
2348	31	3000056731	Quaker Instant Oatmeal	12	9.8 OZ	1	48.24	20.40	0.00	0.00	1	Case	12	14	27.84	0.00	1	2.98	1	0
2211	31	3000031249	Quaker Pop Rice Chili	12	3.0 OZ	1	26.54	10.08	0.00	0.00	1	Case	12	4	16.46	0.00	1	1.18	1	0
2419	31	3000001004	Quaker Standard Oatmeal	12	18 OZ	1	45.00	16.44	0.00	0.00	1	Case	12	16	28.56	0.00	1	1.98	1	0
2420	31	3000001321	Quaker Old Fashioned Oatmeal	12	18 OZ	1	45.00	16.44	0.00	0.00	1	Case	12	16	28.56	0.00	1	1.98	1	0
2421	31	3000032256	Quaker Quick Oats Gluten Free	12	18 OZ	1	57.84	21.12	0.00	0.00	1	Case	12	16	36.72	0.00	1	3.98	1	0
2515	31	1530001495	CHTS Bold Chs & Mac CP	12	2.29 OZ	1	19.68	7.68	0.00	0.00	1	Case	12	4	12.00	0.00	1	0.98	1	0
2506	31	3000016875	Quaker Big Chewy Choc. Chip	12	7.4 OZ	1	32.28	11.28	0.00	0.00	1	Case	12	8	21.00	0.00	1	1.98	1	0
2209	31	3000016920	Quaker Crisp Mini Carmel Rice	12	3.52 OZ	1	26.54	10.08	0.00	0.00	1	Case	12	4	16.46	0.00	1	1.18	1	0
2101	31	3000056728	Quaker Oatmeal  Maple Brown	12	10.4 OZ	1	48.24	24.24	0.00	0.00	1	Case	12	14	24.00	0.00	1	2.98	1	0
2102	31	3000056849	Quaker Oatmeal Inst Var PK	12	10.5 OZ	1	48.24	24.24	0.00	0.00	1	Case	12	14	24.00	0.00	1	2.98	1	0
2103	31	0000056734	Quaker Oatmeal Inst.Raisin Walnut	12	10.4 OZ	1	48.24	24.24	0.00	0.00	1	Module	12	13	24.00	0.00	1	1.98	1	0
2146	31	3000056431	Cap'n Crunch 3 Flavor Pallet	206	ASST	1	702.46	277.66	55.00	0.00	1	Pallet	206	200	369.80	0.00	1	2.48	1	0
2170	31	3000031182	Quaker Chewy Choc Chip	12	8 OZ	1	35.52	14.28	0.00	0.00	1	Case	12	8	21.24	0.00	1	1.98	1	0
2171	31	3000031188	Quaker Chewy Var Pack	12	8 OZ	1	35.52	14.28	0.00	0.00	1	Case	12	9	21.24	0.00	1	1.98	1	0
2172	31	3000031269	Quaker Chewy Dipps CC	12	8 CT	1	35.52	14.28	0.00	0.00	1	Case	12	9	21.24	0.00	1	1.98	1	0
2173	31	3000031271	Quaker Chewy Dipps PB	12	8 CT	1	35.52	14.28	0.00	0.00	1	Case	12	9	21.24	0.00	1	1.98	1	0
2174	31	3000031184	Quaker PB	12	8 OZ	1	35.52	14.28	0.00	0.00	1	Case	12	9	21.24	0.00	1	1.98	1	0
1725	31	3000056733	Quaker Inst Oats Raisin Spice	12	12.10 oz	1	48.24	24.24	0.00	0.00	1	Case	12	13	24.00	0.00	1	1.98	1	0
1784	31	3000001200	Quaker Oats Quick 1 Min.	12	42 OZ	1	75.36	33.54	0.00	0.00	1	Case	12	32.33	41.82	0.00	1	4.98	1	0
1785	31	3000001040	Quacker Oats Reg. Old Fasshion	12	42 OZ	1	75.36	33.54	0.00	0.00	1	Case	12	32.33	41.82	0.00	1	4.98	1	0
1798	31	3000031296	Quaker Chewy Bar Shipper Asst.	96	6.72 OZ	1	298.56	106.56	0.00	0.00	1	Shipper	96	45	192.00	0.00	1	2.78	1	1
