ProductId	List Cost	OffInvoice	BillBack	CRV	Retail Price
1712	13.68	0.00	0.00	0.00	1.78
1714	76.99	0.00	0.00	0.00	2.48
1715	1339.20	682.56	0.00	0.00	2.18
1721	27.72	0.00	1.00	0.00	3.98
1722	11.52	0.00	1.50	0.00	0.58
1709	212.52	38.38	0.00	1.20	23.98
1710	202.80	48.96	0.00	0.60	36.98
1743	1073.28	122.88	0.00	0.00	6.98
1744	1188.00	132.00	0.00	0.00	7.98
1750	29.37	0.00	0.00	0.00	1.58
1751	25.88	0.00	0.00	0.00	1.48
1752	25.94	0.00	0.00	0.00	1.48
1788	21.60	9.84	0.00	0.00	1.48
1789	21.60	9.84	0.00	0.00	1.48
1796	1944.00	885.60	0.00	0.00	1.48
1797	1166.40	531.36	0.00	0.00	1.48
1798	298.56	106.56	0.00	0.00	2.78
1799	22.12	1.80	0.44	0.00	0.98
1800	22.12	1.80	0.44	0.00	0.98
1801	22.12	1.80	0.44	0.00	0.98
1804	436.46	81.28	0.00	0.00	1.98
1811	55.92	31.32	0.00	0.00	3.98
1821	61.99	0.00	0.00	0.00	2.48
1790	21.60	9.84	0.00	0.00	1.48
1791	21.60	9.84	0.00	0.00	1.48
1793	21.60	9.84	0.00	0.00	0.98
1794	21.60	9.84	0.00	0.00	1.28
1795	21.60	9.84	0.00	0.00	1.48
1830	55.92	31.32	0.00	0.00	3.98
1835	293.00	68.00	0.00	1.20	28.98
1861	1033.20	309.96	0.00	0.00	5.98
1867	21.60	9.84	0.00	0.00	1.48
1870	15.84	0.00	0.00	0.00	0.78
2113	450.00	0.00	118.80	0.00	2.48
2115	789.12	155.52	28.80	28.80	2.78
2117	1462.38	0.00	146.37	0.00	2.98
2125	172.00	0.00	0.00	0.00	8.98
2132	213.95	0.00	0.00	0.00	4.58
2175	7.30	0.00	0.00	1.20	4.48
2176	7.30	0.00	0.00	1.20	4.48
2177	7.30	0.20	0.00	1.20	4.48
2178	7.30	0.20	0.00	1.20	4.48
2179	7.30	0.20	0.00	1.20	4.48
2210	26.64	10.08	0.00	0.00	1.48
2213	135.36	21.60	0.00	0.00	1.98
2214	135.36	21.60	0.00	0.00	1.98
2217	2154.36	752.08	0.00	0.00	3.98
2218	157.96	35.40	0.00	1.20	16.48
2219	57.06	2.04	6.96	0.00	10.98
2230	203.52	51.84	0.00	0.00	1.18
2232	42.78	0.00	6.72	0.00	7.98
2233	76.24	0.00	10.60	0.00	10.98
2234	553.44	0.00	47.00	0.00	12.98
1906	35.27	0.00	6.00	0.00	3.78
1910	23.16	0.00	5.79	0.00	1.88
1916	155.52	38.88	0.00	0.00	1.48
1918	55.92	31.32	0.00	0.00	3.78
1920	55.92	31.32	0.00	0.00	3.98
1930	40.56	0.00	3.24	0.00	3.98
1931	81.12	0.00	6.49	0.00	3.98
2261	61.02	0.00	0.00	0.00	1.50
2287	788.40	90.00	0.00	0.00	2.78
2308	695.52	0.00	184.00	0.00	1.98
2351	37.33	0.00	0.00	0.00	3.98
2354	25.00	0.00	0.00	0.00	1.48
2359	83.76	0.00	0.00	0.00	4.98
2371	116.00	0.00	0.00	0.00	116.00
2372	116.00	0.00	0.00	0.00	116.00
2373	111.00	0.00	0.00	0.00	111.00
2374	135.00	0.00	0.00	0.00	135.00
2375	135.00	0.00	0.00	0.00	135.00
2380	1446.72	441.84	0.00	0.00	2.58
2385	312.84	17.64	36.72	0.00	9.98
2404	5.69	0.85	0.00	0.00	5.98
2414	1774.08	67.20	0.00	0.00	1.68
2714	199.92	0.00	0.00	100.80	2.98
2405	6.97	0.60	0.00	0.00	7.98
2406	6.97	0.60	0.00	0.00	7.98
2482	546.43	0.00	0.00	0.00	2.98
2490	37.67	0.00	0.00	0.00	0.10
2497	0.01	0.00	0.00	0.00	0.01
1944	2009.28	361.27	0.00	0.00	3.98
1945	24.30	0.00	0.00	0.00	6.98
1946	24.30	0.00	0.00	0.00	6.98
1963	63.16	0.00	0.00	0.00	1.98
2514	6.97	0.60	0.00	0.00	7.98
2525	476.40	116.40	0.00	1.20	49.98
2541	114.00	36.00	0.00	1.20	10.98
2544	441.00	0.00	108.00	0.00	2.98
2545	1441.80	502.20	0.00	0.00	3.98
2548	26.64	10.08	0.00	0.00	1.98
2549	26.64	10.08	0.00	0.00	1.98
2558	142.80	33.84	0.00	1.20	14.98
2560	1185.60	96.00	0.00	0.00	14.98
2573	16.32	0.00	2.88	0.00	1.58
2611	28.39	0.00	0.00	0.00	1.98
2627	26.64	10.08	0.00	0.00	1.98
2642	11.04	0.00	0.00	0.00	0.98
2651	135.00	0.00	0.00	0.00	135.00
2664	169.01	0.00	0.00	0.00	3.98
2665	403.60	0.00	0.00	0.00	5.98
2680	125.00	0.00	0.00	0.00	150.00
1971	126.67	12.60	0.00	0.60	26.98
1984	231.24	46.80	0.00	1.20	22.98
1985	32.64	0.00	3.72	0.00	2.98
1986	32.64	0.00	3.72	0.00	2.98
1987	148.80	0.00	60.00	0.00	2.98
1988	88.92	0.00	34.00	0.00	3.99
2718	203.52	51.84	0.00	0.00	1.18
2729	38.03	3.25	0.00	0.00	3.98
2736	265.60	0.00	0.00	0.00	5.98
2739	38.58	2.88	0.00	0.00	6.98
2746	18.00	0.00	0.00	0.00	25.98
2747	13.90	0.00	0.00	0.00	19.98
2748	41.13	14.79	0.00	0.00	3.98
2749	41.13	14.79	0.00	0.00	3.98
2752	252.42	0.00	0.00	0.60	59.98
2753	180.58	0.00	0.00	0.60	44.98
2754	336.00	0.00	0.00	0.60	79.98
2766	226.75	4.24	0.00	1.20	26.98
2769	650.00	0.00	0.00	0.00	0.48
2771	163.81	16.80	0.00	1.20	18.48
2777	936.00	0.00	0.00	0.00	2.98
2781	126.60	0.00	0.00	0.00	1.48
2784	134.40	36.48	0.00	0.00	3.98
2785	2420.00	0.00	0.00	0.00	6.98
2788	1089.99	0.00	264.99	0.00	7.98
2789	127.26	0.00	44.01	0.00	2.98
2790	83.28	0.00	46.02	0.00	0.98
2794	1308.60	216.00	0.00	0.00	8.48
2795	155.00	0.00	0.00	0.00	155.00
2796	22.5167	0.00	0.00	0.00	25.00
2797	25.97	0.00	0.00	0.00	8.98
2798	27.04	0.00	0.00	0.00	39.98
2799	25.30	0.00	0.00	0.00	39.98
2800	24.71	0.00	0.00	0.00	38.98
2809	19.87	1.25	0.00	0.00	26.98
2810	23.10	0.00	0.00	0.00	2.78
2820	121.28	0.00	0.00	0.60	31.98
2871	90.45	32.40	0.00	1.20	9.98
2801	11.02	0.00	0.00	0.00	14.98
2823	37.75	2.00	2.00	0.00	5.98
2824	37.32	2.00	2.00	0.00	11.98
2825	273.1676	39.6878	3.00	1.20	27.98
2828	120.90	0.00	0.00	0.00	4.48
2830	18.00	0.00	0.00	0.00	18.00
2831	18.00	0.00	0.00	0.00	18.00
2832	18.00	0.00	0.00	0.00	18.00
2833	18.00	0.00	0.00	0.00	18.00
2834	18.00	0.00	0.00	0.00	18.00
2835	18.00	0.00	0.00	0.00	18.00
2836	18.00	0.00	0.00	0.00	18.00
2837	18.00	0.00	0.00	0.00	18.00
2838	18.00	0.00	0.00	0.00	18.00
2844	8.30	0.00	0.00	0.00	11.98
2877	16.80	0.00	0.00	0.00	3.98
2878	10.40	0.00	0.00	0.00	13.98
2883	115.62	23.40	3.00	0.60	22.98
2885	158.00	146.00	0.00	1.20	13.98
2886	104.00	80.00	0.00	1.20	11.98
2890	137.92	0.00	0.00	0.00	3.98
2891	1528.08	0.00	0.00	0.00	10.98
2892	3.72	0.00	1.62	0.00	2.48
2893	2.10	0.00	0.00	0.00	2.48
2894	796.24	0.00	0.00	0.00	3.98
2911	22.40	0.00	0.00	0.00	3.98
2912	34.70	0.00	0.00	0.00	0.10
2913	182.70	26.50	0.00	0.00	2.98
2916	4.50	0.00	0.00	0.00	4.50
2932	246.00	60.00	0.00	1.20	26.98
2067	25.92	0.00	9.07	0.00	1.88
2933	246.00	60.00	0.00	0.60	26.98
2934	67.50	22.50	0.00	0.60	14.98
2936	249.48	74.86	0.00	0.00	9.98
2939	521.64	59.94	0.00	0.00	3.98
2940	1652.40	0.00	334.80	0.00	1.78
2943	15.09	0.00	0.00	0.80	2.78
2944	524.59	89.04	0.00	0.00	2.98
2356	23.00	0.00	0.00	0.00	1.48
2381	76.08	0.00	11.28	0.00	6.98
2382	35.88	0.00	3.48	0.00	6.98
2390	23.19	0.00	0.00	0.00	2.58
2397	2484.00	0.00	927.00	0.00	2.28
2403	5.69	0.85	0.00	0.00	5.98
2578	662.40	194.40	78.00	0.00	4.98
2581	11.58	0.00	0.90	0.60	2.58
2589	662.40	194.40	78.00	0.00	4.98
2597	108.00	21.00	0.00	1.20	11.98
2711	1965.60	453.60	0.00	0.00	2.78
2856	8.00	0.00	0.00	0.00	8.00
2857	58.00	0.00	0.00	0.00	58.00
2861	168.00	30.00	0.00	1.20	18.98
2862	11.58	0.00	0.90	0.60	2.58
2864	708.54	0.00	106.04	0.00	1.78
2869	167.00	0.00	0.00	0.00	1.18
2899	316.80	0.00	0.00	0.00	5.98
2900	49.92	0.00	16.32	0.00	0.98
