InventoryId	POID	PODate	TransNumber	TransDate	VendorId	StoreInId	StoreOutId	ProductID	WhseShipCfg	WhseRecQty	WhseRecCost	StoreShipQty	ShipCost	TransQty	TransCfg	TransCost	TransCRV	EstReceiveDate	Received	AdjId	AdjDate	AdjIn	AdjOut	AdjCode	Upcharge
328836	NULL	NULL	23080	2016-01-22 12:31:49.000	0	10	1	80	NULL	0	NULL	0	0	78	Pallet 	180.18	93.60	NULL	1	0	NULL	NULL	0	NULL	0
329130	9761	2016-01-26 08:33:53.000	NULL	NULL	10	NULL	NULL	80	Case 	780	2.35	0	0	NULL	NULL	NULL	NULL	NULL	1	0	NULL	0	0	NULL	0
329135	NULL	NULL	23090	2016-01-26 09:51:13.000	0	11	1	80	NULL	0	NULL	0	0	78	Pallet 	180.18	93.60	NULL	1	0	NULL	NULL	0	NULL	0
329192	NULL	NULL	23093	2016-01-26 09:51:13.000	0	3	1	80	NULL	0	NULL	0	0	78	Pallet 	180.18	93.60	NULL	1	0	NULL	NULL	0	NULL	0
329256	NULL	NULL	23101	2016-01-26 09:51:14.000	0	8	1	80	NULL	0	NULL	0	0	78	Pallet 	180.18	93.60	NULL	1	0	NULL	NULL	0	NULL	0
329528	NULL	NULL	23119	2016-01-28 08:14:29.000	0	9	1	80	NULL	0	NULL	0	0	78	Pallet 	180.18	93.60	NULL	1	0	NULL	NULL	0	NULL	0
329544	NULL	NULL	23122	2016-01-28 08:14:30.000	0	11	1	80	NULL	0	NULL	0	0	312	Pallet 	180.18	93.60	NULL	1	0	NULL	NULL	0	NULL	0
329633	NULL	NULL	23125	2016-01-28 08:14:35.000	0	8	1	80	NULL	0	NULL	0	0	156	Pallet 	180.18	93.60	NULL	1	0	NULL	NULL	0	NULL	0
329754	NULL	NULL	23130	2016-01-29 13:06:12.000	0	10	1	80	NULL	0	NULL	0	0	78	Pallet 	180.18	93.60	NULL	1	0	NULL	NULL	0	NULL	0
329796	9762	2016-02-02 10:20:37.000	NULL	NULL	10	NULL	NULL	80	Case 	780	2.35	0	0	NULL	NULL	NULL	NULL	NULL	1	0	NULL	0	0	NULL	0
329927	NULL	NULL	23143	2016-02-02 10:33:11.000	0	10	1	80	NULL	0	NULL	0	0	78	Pallet 	180.18	93.60	NULL	1	0	NULL	NULL	0	NULL	0
329973	NULL	NULL	23148	2016-02-02 10:33:13.000	0	8	1	80	NULL	0	NULL	0	0	78	Pallet 	180.18	93.60	NULL	1	0	NULL	NULL	0	NULL	0
